401,Additional,leyou LI,N,lord of the rings return of the king , witch king , Send forth all legions. Do not stop the attack until the city is taken. Slay them all.
402,Additional,leyou LI,N,lord of the rings return of the king , gothmog , What of the Wizard?
403,Additional,leyou LI,N,lord of the rings return of the king , witch king , I shall break him.
404,Additional,leyou LI,N,lord of the rings return of the king , soldier 1 , Where are Theoden's riders?
405,Additional,leyou LI,N,lord of the rings return of the king , soldier 2 , Will Rohan's army come?
406,Additional,leyou LI,N,lord of the rings return of the king , soldier 1 , Mithrandir?
407,Additional,leyou LI,N,lord of the rings return of the king , g an da lf , Courage is the best defence that you have now.
408,Additional,leyou LI,N,lord of the rings return of the king , pippin ," Here do I swear fealty and service to Gondor, in peace or war, in living or dying, from this hour henceforth, until my lord release me, or death take me."
409,Additional,leyou LI,N,lord of the rings return of the king , denethor ," And I shall not forget it, nor fail to reward that which is given ..."
410,Additional,leyou LI,N,lord of the rings return of the king , faramir , What would you have me do?
411,Additional,leyou LI,N,lord of the rings return of the king , denethor , I will not yield the River and Pelennor unfought - Osgiliath must be retaken.
412,Additional,leyou LI,Y,lord of the rings return of the king , faramir ," My Lord, Osgiliath is overrun."
413,Additional,leyou LI,Y,lord of the rings return of the king , denethor , Much must be risked in war. Is there a Captain here who still has the courage to do his Lord's will?
414,Additional,leyou LI,Y,lord of the rings return of the king , faramir ," You wish now that our places had been exchanged, that I had died and Boromir had lived?"
415,Additional,leyou LI,N,lord of the rings return of the king , denethor ," Yes, I wish that."
416,Additional,leyou LI,N,lord of the rings return of the king , faramir ," Since you are robbed of Boromir, I will do what I can in his stead."
417,Additional,leyou LI,Y,lord of the rings return of the king , denethor , That will depend on the manner of your return.
418,Additional,leyou LI,Y,lord of the rings return of the king , sam ," What are you up to? Sneaking off, are we?"
419,Additional,leyou LI,Y,lord of the rings return of the king , smeagol ," Sneaking? Sneaking? Fat Hobbit is always so polite. Smeagol shows them secret ways that nobody else could find and they say Sneak!, Sneak!. Very nice friends, oh yes, my Precious, very nice."
